City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
paveh,0.0,IR,1547269200.0,85.0,35.05,46.36,21.2,2.24
kondinskoye,68.0,RU,1547270867.0,86.0,59.65,67.41,2.72,8.63
north bend,20.0,US,1547268960.0,83.0,43.41,-124.22,48.92,5.82
avenal,1.0,US,1547268960.0,92.0,36.0,-120.13,53.06,3.36
kahului,1.0,US,1547268960.0,76.0,20.89,-156.47,75.02,3.36
bambous virieux,75.0,MU,1547269200.0,79.0,-20.34,57.76,84.2,12.75
ust-maya,36.0,RU,1547270869.0,39.0,60.42,134.54,-25.99,2.48
coruripe,76.0,BR,1547270869.0,98.0,-10.12,-36.18,79.31,7.18
binga,24.0,ZW,1547270870.0,96.0,-17.62,27.34,75.8,4.61
barabai,36.0,ID,1547270870.0,69.0,-2.59,115.38,88.22,2.93
thompson,75.0,CA,1547265600.0,76.0,55.74,-97.86,-4.01,3.36
vao,44.0,EE,1547270871.0,83.0,59.1,26.19,32.06,10.76
grand gaube,75.0,MU,1547269200.0,79.0,-20.01,57.66,84.2,12.75
fukue,75.0,JP,1547269200.0,52.0,35.03,136.69,46.4,11.41
pahrump,1.0,US,1547269080.0,55.0,36.21,-115.98,44.96,9.17
klerksdorp,0.0,ZA,1547270872.0,38.0,-26.86,26.67,73.28,4.61
aklavik,90.0,CA,1547269200.0,68.0,68.22,-135.01,-20.21,4.7
quepos,0.0,CR,1547269200.0,68.0,9.43,-84.16,68.0,13.87
aranos,0.0,NA,1547270873.0,30.0,-24.14,19.11,65.72,8.41
koani,80.0,TZ,1547270873.0,100.0,-6.13,39.28,82.01,17.36
depok,20.0,ID,1547269200.0,66.0,-6.41,106.81,89.6,9.17
muscat,40.0,OM,1547268600.0,60.0,23.6,58.55,73.4,9.17
rock springs,1.0,US,1547268840.0,87.0,41.59,-109.2,14.0,9.17
olinda,40.0,EC,1547269200.0,74.0,-2.03,-79.75,78.8,9.17
lufilufi,75.0,WS,1547265600.0,74.0,-13.87,-171.6,86.0,3.36
kotar,75.0,SI,1547268600.0,92.0,46.06,14.35,24.8,2.24
kenai,1.0,US,1547268960.0,78.0,60.55,-151.26,-2.03,6.93
narsaq,88.0,GL,1547268600.0,59.0,60.91,-46.05,33.8,29.97
kavaratti,20.0,IN,1547270877.0,100.0,10.57,72.64,81.47,11.1
henties bay,80.0,NA,1547270877.0,100.0,-22.12,14.28,61.67,5.06
port blair,56.0,IN,1547270877.0,100.0,11.67,92.75,80.48,10.09
faanui,88.0,PF,1547270878.0,100.0,-16.48,-151.75,81.56,16.24
omboue,32.0,GA,1547270878.0,100.0,-1.57,9.26,77.96,5.61
itoman,75.0,JP,1547269560.0,69.0,26.12,127.67,73.4,19.46
shenjiamen,64.0,CN,1547270879.0,100.0,29.96,122.3,48.89,18.03
hualmay,12.0,PE,1547270879.0,94.0,-11.1,-77.61,63.29,5.61
kingaroy,0.0,AU,1547269200.0,27.0,-26.54,151.84,89.6,10.29
parrsboro,90.0,CA,1547269200.0,78.0,45.41,-64.33,10.4,17.22
haverfordwest,92.0,GB,1547265000.0,87.0,51.8,-4.97,48.2,18.34
la libertad,40.0,PE,1547269200.0,93.0,-16.38,-71.56,50.0,2.59
huarmey,24.0,PE,1547270881.0,90.0,-10.07,-78.15,61.67,3.04
aden,88.0,YE,1547270882.0,100.0,12.79,45.03,75.26,10.54
sao joao da barra,64.0,BR,1547270882.0,98.0,-21.64,-41.05,78.86,15.01
sabaudia,0.0,IT,1547268600.0,74.0,41.3,13.03,32.0,5.82
vila velha,40.0,BR,1547269200.0,88.0,-3.71,-38.6,80.6,4.7
itarema,64.0,BR,1547270767.0,97.0,-2.92,-39.92,73.64,0.92
beloha,80.0,MG,1547270883.0,92.0,-25.17,45.06,77.33,12.1
sibenik,92.0,HR,1547270883.0,84.0,45.81,17.18,21.8,3.83
chingirlau,92.0,KZ,1547270884.0,88.0,51.09,54.08,20.9,19.26
bluffton,1.0,US,1547271300.0,79.0,40.74,-85.17,30.02,6.73
lagos,20.0,NG,1547265600.0,88.0,6.46,3.39,78.8,2.24
kasama,44.0,ZM,1547270885.0,100.0,-10.21,31.19,68.24,4.38
awbari,0.0,LY,1547270885.0,88.0,26.59,12.77,33.32,8.3
vardo,1.0,US,1547270100.0,59.0,39.62,-77.74,30.2,2.37
molokovo,68.0,RU,1547270886.0,81.0,58.16,36.77,17.21,11.65
tuy hoa,92.0,VN,1547270886.0,93.0,13.08,109.3,76.34,13.56
pacific grove,90.0,US,1547269200.0,83.0,36.62,-121.92,57.2,4.7
rzhyshchiv,40.0,UA,1547269200.0,92.0,49.97,31.05,14.0,11.18
ca mau,80.0,VN,1547270887.0,74.0,9.18,105.15,84.71,14.9
pozo colorado,48.0,PY,1547270888.0,93.0,-23.49,-58.8,74.09,6.17
catuday,12.0,PH,1547270888.0,83.0,16.29,119.81,84.53,1.81
barranca,8.0,PE,1547270888.0,100.0,-10.75,-77.76,71.3,13.33
ust-omchug,48.0,RU,1547270889.0,34.0,61.13,149.63,-25.09,2.59
gazojak,48.0,TM,1547270889.0,93.0,41.19,61.4,30.98,9.19
orlovo,75.0,BG,1547269200.0,92.0,41.83,25.54,32.0,16.11
san ramon,92.0,NI,1547270890.0,92.0,12.92,-85.84,64.1,2.71
jiangkou,8.0,CN,1547270891.0,93.0,30.7,117.56,47.54,4.27
praia,0.0,BR,1547265600.0,68.0,-20.25,-43.81,71.6,4.7
lavrentiya,20.0,RU,1547270891.0,86.0,65.58,-170.99,-9.43,26.64
coalinga,1.0,US,1547268960.0,92.0,36.14,-120.36,53.06,3.36
matamoros,90.0,US,1547270100.0,93.0,25.87,-97.51,71.06,10.29
havre-saint-pierre,90.0,CA,1547269560.0,92.0,50.23,-63.6,24.8,16.11
northam,92.0,GB,1547265000.0,93.0,51.04,-4.21,48.2,14.99
robinson,90.0,US,1547270100.0,99.0,39.01,-87.74,30.56,6.93
kuopio,0.0,FI,1547268600.0,74.0,62.89,27.68,28.4,16.11
huangmei,12.0,CN,1547270894.0,100.0,30.1,115.95,46.28,5.17
altay,76.0,CN,1547270894.0,80.0,47.83,88.13,14.78,2.37
angoram,48.0,PG,1547270895.0,83.0,-4.06,144.07,83.9,2.93
namatanai,12.0,PG,1547270745.0,94.0,-3.66,152.44,85.34,16.13
panguna,88.0,PG,1547270895.0,72.0,-6.32,155.48,82.37,3.83
thinadhoo,44.0,MV,1547270896.0,100.0,0.53,72.93,81.02,7.4
lyngseidet,75.0,NO,1547268600.0,100.0,69.58,20.21,32.0,23.04
meiganga,8.0,CM,1547270896.0,57.0,6.52,14.29,58.97,3.94
druskininkai,90.0,LT,1547269200.0,92.0,54.02,23.98,30.2,11.18
manyana,20.0,AU,1547270897.0,67.0,-35.26,150.51,80.93,7.85
east london,0.0,ZA,1547269200.0,63.0,-33.02,27.91,66.2,14.99
kikwit,20.0,CD,1547270898.0,97.0,-5.04,18.82,72.29,4.38
shumikha,24.0,RU,1547270898.0,70.0,55.23,63.28,1.37,9.64
ilulissat,0.0,GL,1547268600.0,47.0,69.22,-51.1,-9.41,2.24
